Date,Seasons,Holiday,FunctioningDay
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-07,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-08,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-09,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-10,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-11,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-12,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-13,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-14,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-15,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-16,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-17,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-18,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-19,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-20,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-21,Winter,No Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-22,Winter,Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-23,Winter,No Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-24,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-25,Winter,Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-26,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-27,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
2017-12-28,Winter,No Holiday,Yes
